CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,1,2,-,"2,910.40",234.25,"1,825","2,869.80","3,097.15",375,"22,400.00","3,175",1.25,1.30,"1,000",-0.20,1.30,51.95,"5,03,849","-21,440","1,77,815",
,-,-,-,-,-,-,"1,775","2,813.70","3,075.30","1,000","22,450.00","2,150",1.10,1.15,"3,075",-0.25,1.15,50.48,"2,07,411","-13,417","29,607",
,63,-,-,-,"2,384.55",-8.75,375,"2,860.95","2,964.85",375,"22,500.00",600,1.30,1.40,"1,800",-0.60,1.30,50.28,"1,72,934","-23,719","1,21,265",
,-,-,-,-,-,-,375,"2,794.75","2,917.70",375,"22,550.00","1,650",1.50,1.55,300,-0.45,1.50,50.20,"25,499","-1,343","14,544",
,2,-,-,-,"2,645.00",-,375,"2,748.20","2,867.70",375,"22,600.00","4,825",1.55,1.60,"4,475",-0.55,1.55,49.54,"94,372",-983,"32,776",
,-,-,-,-,-,-,375,"2,711.45","2,811.90",375,"22,650.00","3,000",1.45,1.95,"1,075",-0.60,1.45,48.35,"5,751",478,"2,062",
,34,-1,4,-,"2,663.60",30.35,300,"2,688.15","2,718.60",150,"22,700.00",25,1.55,1.70,"5,400",-0.55,1.65,48.18,"53,552","-3,503","14,924",
,-,-,-,-,-,-,375,"2,595.25","2,711.90",375,"22,750.00","4,700",1.40,1.95,"1,125",-0.65,1.40,46.50,"2,218",338,"1,296",
,2,-,-,-,"2,215.00",-,375,"2,548.85","2,662.70",375,"22,800.00","4,775",1.40,1.70,50,-0.25,1.95,47.37,"30,421",-457,"7,681",
,-,-,-,-,-,-,375,"2,513.65","2,610.05",375,"22,850.00",300,1.55,1.75,"1,475",-0.50,1.75,45.95,"2,230",112,929,
,117,-1,1,72.01,"2,540.00",87.80,"1,150","2,464.65","2,515.55",150,"22,900.00","2,600",1.45,1.95,"1,100",-0.65,1.45,44.17,"42,415","-2,129","3,934",
,-,-,-,-,-,-,375,"2,398.65","2,518.50",375,"22,950.00","1,600",1.40,1.70,450,-0.50,1.70,44.11,"13,103",-537,"2,184",
,"1,064",-19,20,-,"2,350.00",11.65,25,"2,400.00","2,409.25",400,"23,000.00","5,800",1.50,1.60,500,-1.00,1.50,42.67,"3,43,328","7,816","1,42,898",
,-,-,-,-,-,-,375,"2,299.10","2,411.80",375,"23,050.00","1,050",1.55,2.00,25,-0.95,1.60,42.13,"6,019",190,"1,232",
,9,-,-,-,"1,935.00",-,375,"2,250.35","2,360.05",375,"23,100.00","1,100",1.50,1.75,450,-0.80,1.75,41.71,"36,549","3,112","19,768",
,-,-,-,-,-,-,375,"2,200.35","2,315.35",375,"23,150.00",50,1.70,2.10,900,-0.60,2.10,41.73,"6,496",15,"2,867",
,2,-,-,-,"1,825.00",-,375,"2,163.80","2,265.75",375,"23,200.00","2,050",1.70,1.80,175,-0.95,1.80,40.14,"64,312","-1,559","25,306",
,-,-,-,-,-,-,"1,775","1,999.45","2,318.95","1,000","23,250.00",900,1.75,2.10,300,-1.00,1.80,39.29,"26,248",-43,"9,635",
,7,-,-,-,"1,700.00",-,375,"2,050.00","2,166.10",375,"23,300.00",75,1.80,2.20,"1,025",-1.10,1.80,38.45,"81,393","-4,823","15,956",
,18,-,-,-,"1,990.00",-,375,"2,000.50","2,114.55",375,"23,350.00",350,1.75,2.10,200,-1.25,1.75,37.48,"12,775",250,"4,969",
,92,2,35,47.80,"2,014.75",99.70,575,"1,950.50","2,019.60",175,"23,400.00",575,1.95,2.00,100,-1.10,1.95,37.10,"1,07,413","-8,354","33,843",
,-,-,-,-,-,-,375,"1,900.60","2,016.55",375,"23,450.00","1,025",1.85,2.35,350,-0.90,2.35,37.07,"20,660",-640,"7,000",
,831,-2,32,49.51,"1,921.40",77.10,50,"1,900.95","1,909.50",250,"23,500.00","1,150",1.90,2.10,150,-1.60,1.85,35.17,"3,50,856","1,596","1,59,734",
,56,55,202,35.14,"1,855.35",405.35,500,"1,821.40","1,864.30",475,"23,550.00","1,175",1.90,2.45,"1,000",-1.25,2.25,35.14,"10,331",-9,"4,384",
,120,-,-,-,"1,743.20",5.10,"1,775","1,669.25","1,953.30","1,000","23,600.00",150,2.10,2.50,"1,025",-1.05,2.55,34.81,"1,65,694","16,975","46,690",
,3,-4,6,-,"1,720.00",415.00,400,"1,715.40","1,769.05",50,"23,650.00","1,225",2.05,2.45,"1,025",-1.30,2.45,33.76,"15,661",-160,"3,892",
,107,-5,5,37.92,"1,710.00",50.00,50,"1,675.10","1,718.05",150,"23,700.00","1,100",2.20,2.70,200,-1.30,2.60,33.13,"85,455","-5,331","26,826",
,-,-,-,-,-,-,"1,775","1,538.50","1,797.25","1,000","23,750.00",375,2.10,2.70,"1,025",-1.40,2.60,32.25,"38,046",205,"8,017",
,454,-1,1,37.44,"1,612.00",70.00,25,"1,605.00","1,609.85",75,"23,800.00","1,375",2.40,2.90,"1,275",-1.30,2.80,31.67,"1,34,261","-15,765","55,176",
,-,-,-,-,"1,288.95",-,375,"1,502.70","1,611.95",375,"23,850.00","1,800",2.40,2.95,"1,025",-2.05,2.50,30.33,"28,653","-1,273","3,357",
,57,-5,5,37.24,"1,515.00",42.20,400,"1,496.80","1,510.20",25,"23,900.00","1,150",2.45,2.75,"1,000",-2.00,2.65,29.67,"1,79,166","-2,857","27,194",
,3,-,-,-,"1,396.05",-,375,"1,408.90","1,513.90",375,"23,950.00","1,100",2.65,3.00,975,-1.95,3.00,29.27,"58,262","-1,683","10,578",
,"2,341",-94,497,23.76,"1,404.15",60.40,75,"1,403.65","1,409.00",50,"24,000.00","2,025",3.05,3.30,"1,800",-1.70,3.30,28.74,"5,16,040","-4,718","1,76,197",
,2,-,1,40.31,"1,380.00",65.25,250,"1,344.25","1,368.85",50,"24,050.00","1,025",2.90,3.40,"1,100",-2.55,2.85,27.27,"50,953",765,"12,456",
,166,14,66,28.35,"1,308.25",56.85,50,"1,304.00","1,309.30",25,"24,100.00","1,050",3.20,3.50,700,-2.55,3.20,26.80,"2,21,910","-3,397","66,051",
,84,7,14,31.27,"1,263.95",171.35,450,"1,244.70","1,260.60",50,"24,150.00","1,775",3.05,3.55,"1,025",-2.95,3.05,25.72,"54,477",957,"11,200",
,491,2,162,27.04,"1,209.05",61.50,50,"1,204.20","1,209.60",25,"24,200.00","1,750",3.65,3.80,"1,025",-2.55,3.70,25.51,"2,67,333","-13,895","59,698",
,54,-,2,-,"1,096.90",10.35,550,"1,145.10","1,160.90",75,"24,250.00","1,225",3.70,4.05,"1,200",-3.10,3.70,24.58,"1,18,841","-21,893","10,166",
,"1,320",-39,218,27.96,"1,113.80",66.45,150,"1,104.75","1,110.00",250,"24,300.00","3,025",3.70,4.05,450,-2.95,4.05,23.97,"2,58,227","-14,484","47,307",
,205,-,-,-,999.00,-0.75,375,"1,007.50","1,111.60",375,"24,350.00",975,4.30,4.50,"1,450",-3.20,4.30,23.24,"85,657",-411,"13,053",
,"1,252",-7,503,26.60,"1,015.50",73.00,250,"1,006.05","1,009.80",250,"24,400.00",200,4.30,4.50,"4,525",-3.45,4.50,22.45,"3,75,065","2,138","48,592",
